ID,Title,Work Item Type,State,Effort,Value Area,Iteration Path,Tags
265,Generar métricas de calidad,Task,To Do,,,Trabajo de Grado - Tutor inteligente\Sprint 6,
266,Visualizar resultados,Task,To Do,,,Trabajo de Grado - Tutor inteligente\Sprint 6,
267,Priorizar recursos a mejorar,Task,To Do,,,Trabajo de Grado - Tutor inteligente\Sprint 6,
13,Épica 3.2 - Gestión de rutas de aprendizaje,Feature,New,,Business,Trabajo de Grado - Tutor inteligente\Sprint 1,
268,HU 3.2.1 Actualizar rutas de aprendizaje,Product Backlog Item,New,,Business,Trabajo de Grado - Tutor inteligente\Sprint 7,
269,Definir estructura de rutas,Task,To Do,,,Trabajo de Grado - Tutor inteligente\Sprint 7,
270,Asociar recursos a rutas,Task,To Do,,,Trabajo de Grado - Tutor inteligente\Sprint 7,
271,Ajustar rutas por categoría,Task,To Do,,,Trabajo de Grado - Tutor inteligente\Sprint 7,
272,Validar coherencia de rutas,Task,To Do,,,Trabajo de Grado - Tutor inteligente\Sprint 7,
273,Actualizar rutas existentes,Task,To Do,,,Trabajo de Grado - Tutor inteligente\Sprint 7,
274,HU 3.2.2 Reportes por estudiante,Product Backlog Item,New,,Business,Trabajo de Grado - Tutor inteligente\Sprint 7,
275,Consolidar resultados de evaluaciones,Task,To Do,,,Trabajo de Grado - Tutor inteligente\Sprint 7,
276,Identificar patrones de debilidad,Task,To Do,,,Trabajo de Grado - Tutor inteligente\Sprint 7,
277,Generar métricas agregadas,Task,To Do,,,Trabajo de Grado - Tutor inteligente\Sprint 7,
278,Visualizar resultados,Task,To Do,,,Trabajo de Grado - Tutor inteligente\Sprint 7,
279,HU 3.2.3 Recepción de ruta de aprendizaje personalizada,Product Backlog Item,New,,Business,Trabajo de Grado - Tutor inteligente\Sprint 6,
280,Identificar intereses del estudiante,Task,To Do,,,Trabajo de Grado - Tutor inteligente\Sprint 6,
281,Cruzar intereses con debilidades,Task,To Do,,,Trabajo de Grado - Tutor inteligente\Sprint 6,
282,Generar recomendaciones personalizadas,Task,To Do,,,Trabajo de Grado - Tutor inteligente\Sprint 6,
283,Mostrar recomendaciones,Task,To Do,,,Trabajo de Grado - Tutor inteligente\Sprint 6,
